TICKER,TRADE_DATE,Type,PE_RATIO,PX_TO_BOOK_RATIO
SOCB,2021-08-20,SOCB,16.3594,1.9928
SOCB,2021-08-23,SOCB,15.8746,1.9337
SOCB,2021-08-24,SOCB,15.915,1.9387
SOCB,2021-08-25,SOCB,15.9352,1.9411
SOCB,2021-08-26,SOCB,15.5919,1.8993
SOCB,2021-08-27,SOCB,15.6323,1.9042
SOCB,2021-08-30,SOCB,15.9352,1.9411
SOCB,2021-08-31,SOCB,15.7333,1.9165
SOCB,2021-09-01,SOCB,15.7535,1.919
SOCB,2021-09-06,SOCB,15.7939,1.9239
SOCB,2021-09-07,SOCB,16.0362,1.9534
SOCB,2021-09-08,SOCB,15.9958,1.9485
SOCB,2021-09-09,SOCB,16.0766,1.9584
SOCB,2021-09-10,SOCB,16.016,1.951
SOCB,2021-09-13,SOCB,15.8141,1.9264
SOCB,2021-09-14,SOCB,15.6323,1.9042
SOCB,2021-09-15,SOCB,15.6727,1.9091
SOCB,2021-09-16,SOCB,15.915,1.9387
SOCB,2021-09-17,SOCB,16.1574,1.9682
SOCB,2021-09-20,SOCB,16.117,1.9633
SOCB,2021-09-21,SOCB,16.016,1.951
SOCB,2021-09-22,SOCB,15.9958,1.9485
SOCB,2021-09-23,SOCB,15.9352,1.9411
SOCB,2021-09-24,SOCB,16.0362,1.9534
SOCB,2021-09-27,SOCB,15.915,1.9387
SOCB,2021-09-28,SOCB,16.1978,1.9731
SOCB,2021-09-29,SOCB,16.117,1.9633
SOCB,2021-09-30,SOCB,16.0328,1.9068
SOCB,2021-10-01,SOCB,15.7687,1.8754
SOCB,2021-10-04,SOCB,15.8093,1.8802
SOCB,2021-10-05,SOCB,15.9719,1.8996
SOCB,2021-10-06,SOCB,16.0125,1.9044
SOCB,2021-10-07,SOCB,15.9109,1.8923
SOCB,2021-10-08,SOCB,15.9312,1.8947
SOCB,2021-10-11,SOCB,16.2564,1.9334
SOCB,2021-10-12,SOCB,16.358,1.9455
SOCB,2021-10-13,SOCB,16.2157,1.9286
SOCB,2021-10-14,SOCB,16.0735,1.9116
SOCB,2021-10-15,SOCB,16.0532,1.9092
SOCB,2021-10-18,SOCB,15.9719,1.8996
SOCB,2021-10-19,SOCB,16.2767,1.9358
SOCB,2021-10-20,SOCB,16.1548,1.9213
SOCB,2021-10-21,SOCB,16.0532,1.9092
SOCB,2021-10-22,SOCB,15.9719,1.8996
SOCB,2021-10-25,SOCB,15.9312,1.8947
SOCB,2021-10-26,SOCB,15.9312,1.8947
SOCB,2021-10-27,SOCB,16.2157,1.9286
SOCB,2021-10-28,SOCB,16.1954,1.9261
SOCB,2021-10-29,SOCB,16.866,2.0059
SOCB,2021-11-01,SOCB,16.8197,2.0204
SOCB,2021-11-02,SOCB,16.9757,2.0276
SOCB,2021-11-03,SOCB,17.1145,2.0808
SOCB,2021-11-04,SOCB,17.0624,2.1267
SOCB,2021-11-05,SOCB,16.9064,2.1074
SOCB,2021-11-08,SOCB,17.0278,2.1219
SOCB,2021-11-09,SOCB,16.837,2.0784
SOCB,2021-11-10,SOCB,16.9237,2.0784
SOCB,2021-11-11,SOCB,17.0451,2.0687
SOCB,2021-11-12,SOCB,17.0278,2.0881
SOCB,2021-11-15,SOCB,16.9411,2.0687
SOCB,2021-11-16,SOCB,16.8544,2.0687
SOCB,2021-11-17,SOCB,16.9931,2.1074
SOCB,2021-11-18,SOCB,16.8197,2.1509
SOCB,2021-11-19,SOCB,16.837,2.1461
SOCB,2021-11-22,SOCB,17.1318,2.2016
SOCB,2021-11-23,SOCB,17.1838,2.1606
SOCB,2021-11-24,SOCB,18.1722,2.2258
SOCB,2021-11-25,SOCB,18.4307,2.192
SOCB,2021-11-26,SOCB,18.2069,2.1968
SOCB,2021-11-29,SOCB,17.5306,2.1509
SOCB,2021-11-30,SOCB,17.1491,2.1461
SOCB,2021-12-01,SOCB,17.1665,2.1412
SOCB,2021-12-02,SOCB,17.1838,2.1364
SOCB,2021-12-03,SOCB,16.9931,2.0301
SOCB,2021-12-06,SOCB,16.5422,2.0276
SOCB,2021-12-07,SOCB,17.0278,2.1074
SOCB,2021-12-08,SOCB,17.1145,2.1267
SOCB,2021-12-09,SOCB,17.2012,2.1267
SOCB,2021-12-10,SOCB,17.3399,2.1557
SOCB,2021-12-13,SOCB,17.2705,2.1992
SOCB,2021-12-14,SOCB,17.2185,2.1896
SOCB,2021-12-15,SOCB,17.3225,2.1702
SOCB,2021-12-16,SOCB,17.1838,2.1702
SOCB,2021-12-17,SOCB,16.733,2.1702
SOCB,2021-12-20,SOCB,17.2532,2.1557
SOCB,2021-12-21,SOCB,17.1491,2.1171
SOCB,2021-12-22,SOCB,17.2236,2.0929
SOCB,2021-12-23,SOCB,17.134,2.107
SOCB,2021-12-24,SOCB,17.582,2.1376
SOCB,2021-12-27,SOCB,17.8731,2.1559
SOCB,2021-12-28,SOCB,17.9179,2.1498
SOCB,2021-12-29,SOCB,17.806,2.1498
SOCB,2021-12-30,SOCB,17.5596,2.162
SOCB,2021-12-31,SOCB,16.953,2.2574
SOCB,2022-01-04,SOCB,16.9961,2.2757
SOCB,2022-01-05,SOCB,16.7809,2.2544
SOCB,2022-01-06,SOCB,17.0176,2.3122
SOCB,2022-01-07,SOCB,17.1682,2.3852
SOCB,2022-01-10,SOCB,17.1036,2.3639
SOCB,2022-01-11,SOCB,17.0821,2.3974
SOCB,2022-01-12,SOCB,17.2112,2.5647
SOCB,2022-01-13,SOCB,17.62,2.6773
